detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank,EDUS_cr,Rank_cr,Comb_Size
YOLO-FP32-P15,YOLO-FP32-P15,8.674,5.74,0.4731,6.7948,3.1363,26.0022,6.75,6.6,0.5028,0.5212,0.5118,0.5212,0.9306,28,0.9378366598092354,13,14.414
YOLO-INT8-P10,MobileNetV3,2.315,5.148,0.3492,2.709,1.4328,21.3454,8.15,6.6,0.5152,0.5528,0.387,0.409,0.8933,62,0.9362386665732885,14,7.462999999999999
YOLO-FP32-Base,YOLO-INT8-P10,10.228,1.526,0.4943,5.9321,7.6404,40.184,6.75,6.6,0.4651,0.476,0.4705,0.476,0.9413,14,0.9339224865045891,15,11.754
YOLO-FP32-P10,YOLO-FP32-Base,9.257,6.792,0.4763,7.15,3.1314,26.5409,6.7,6.6,0.5049,0.5151,0.5099,0.5151,0.927,29,0.9334123428575154,16,16.049
YOLO-FP16-P15,MobileNetV3,4.334,5.148,0.4769,2.5029,1.4175,21.1928,6.7,6.6,0.447,0.472,0.4211,0.4386,0.9363,20,0.931314486974217,17,9.482
YOLO-FP32-Base,YOLO-FP32-P15,10.228,5.74,0.4943,5.9321,3.1152,25.4089,6.75,6.6,0.4773,0.4894,0.4833,0.4894,0.9343,25,0.9311951639714938,18,15.968
YOLO-FP16-P10,YOLO-FP16-P10,4.629,3.396,0.4786,2.6018,11.7091,73.0503,6.8,6.6,0.443,0.4542,0.4485,0.4542,0.9453,10,0.9292816465385897,19,8.024999999999999
YOLO-FP32-Base,YOLO-FP16-P10,10.228,3.396,0.4943,5.9321,5.5283,47.0228,6.75,6.6,0.4622,0.4731,0.4676,0.4731,0.9366,19,0.927925135365535,20,13.623999999999999
YOLO-FP16-P10,LANMSFF,4.629,1.224,0.4786,2.6018,0.8463,7.8571,6.8,6.6,0.4208,0.439,0.4297,0.439,0.9466,8,0.9239408901608802,21,5.853
YOLO-FP16-P10,YOLO-INT8-P15,4.629,1.435,0.4786,2.6018,7.627,54.674,6.8,6.6,0.4275,0.4311,0.4293,0.4311,0.946,9,0.9231017798219936,22,6.064
YOLO-FP32-Base,MobileNetV3,10.228,5.148,0.4943,5.9321,1.4439,24.906,6.75,6.6,0.4545,0.4762,0.4185,0.429,0.9232,35,0.9225464300780203,23,15.376
YOLO-FP32-Base,YOLO-FP16-P15,10.228,3.052,0.4943,5.9321,3.8473,35.1386,6.75,6.6,0.4503,0.46,0.4551,0.46,0.9349,23,0.9217563889691887,24,13.28
YOLO-FP16-P15,YOLO-FP16-P15,4.334,3.052,0.4769,2.5029,7.3973,48.0786,6.7,6.6,0.4311,0.4334,0.4322,0.4334,0.9431,13,0.9210050380529613,25,7.385999999999999
YOLO-FP32-P15,YOLO-FP32-P10,8.674,6.104,0.4731,6.7948,3.0872,25.7532,6.75,6.6,0.4781,0.4869,0.4825,0.4869,0.9242,31,0.9205198937973348,26,14.777999999999999
YOLO-FP16-P10,YOLO-INT8-P10,4.629,1.526,0.4786,2.6018,9.6886,54.982,6.8,6.6,0.418,0.4292,0.4235,0.4292,0.9447,11,0.9197140460244411,27,6.154999999999999
YOLO-FP16-P15,YOLO-INT8-P15,4.334,1.435,0.4769,2.5029,7.5505,37.9704,6.7,6.6,0.4154,0.4199,0.4176,0.4199,0.9439,12,0.9166484482141628,28,5.769
YOLO-FP32-Base,YOLO-INT8-P15,10.228,1.435,0.4943,5.9321,7.5626,51.8441,6.75,6.6,0.4357,0.4426,0.4391,0.4426,0.9355,22,0.9166152607685416,29,11.663
YOLO-FP32-P10,YOLO-FP16-P10,9.257,3.396,0.4763,7.15,13.6565,110.7249,6.7,6.6,0.452,0.4654,0.4586,0.4654,0.9247,30,0.9127484954792647,30,12.652999999999999
YOLO-FP16-P15,YOLO-FP16-P10,4.334,3.396,0.4769,2.5029,9.705,72.7224,6.7,6.6,0.4129,0.42,0.4164,0.42,0.9392,17,0.9113882003475421,31,7.7299999999999995
YOLO-FP32-P10,MobileNetV3,9.257,5.148,0.4763,7.15,1.4344,26.0093,6.7,6.6,0.447,0.4758,0.3992,0.4109,0.9094,49,0.91016242930317,32,14.405
YOLO-FP16-P15,YOLO-INT8-P10,4.334,1.526,0.4769,2.5029,5.6404,28.7641,6.7,6.6,0.4017,0.4081,0.4049,0.4081,0.9412,15,0.9093236436835092,33,5.859999999999999
YOLO-INT8-P15,MobileNetV3,2.17,5.148,0.3515,2.58,1.4292,21.315,9.7,6.6,0.4621,0.5,0.3491,0.3653,0.8872,63,0.9079687864266525,34,7.318
YOLO-FP32-P10,YOLO-FP32-P10,9.257,6.104,0.4763,7.15,3.1759,26.6986,6.7,6.6,0.4538,0.4649,0.4593,0.4649,0.9188,42,0.9067674473466459,35,15.361
YOLO-FP32-Base,LANMSFF,10.228,1.224,0.4943,5.9321,0.9249,11.7312,6.75,6.6,0.412,0.427,0.4194,0.427,0.9322,26,0.9061526770087627,36,11.452
YOLO-INT8-P15,YOLO-FP32-P10,2.17,6.104,0.3515,2.58,3.123,21.8056,9.7,6.6,0.4734,0.4793,0.4763,0.4793,0.9095,48,0.9030853991114585,37,8.274000000000001
YOLO-FP16-P15,LANMSFF,4.334,1.224,0.4769,2.5029,0.8712,7.8116,6.7,6.6,0.3828,0.4019,0.3921,0.4019,0.9394,16,0.9030383740434452,38,5.558
YOLO-INT8-P15,YOLO-FP16-P15,2.17,3.052,0.3515,2.58,3.7195,20.8595,9.7,6.6,0.4543,0.4715,0.4627,0.4715,0.9137,43,0.9027374785533029,39,5.2219999999999995
YOLO-INT8-P15,YOLO-FP32-P15,2.17,5.74,0.3515,2.58,3.1238,21.7471,9.7,6.6,0.4634,0.4844,0.4737,0.4844,0.9098,47,0.9025816365018309,40,7.91
YOLO-FP32-P10,YOLO-INT8-P15,9.257,1.435,0.4763,7.15,1.5351,16.8571,6.7,6.6,0.4288,0.4356,0.4322,0.4356,0.924,33,0.902552567317979,41,10.692
YOLO-INT8-P10,YOLO-FP32-Base,2.315,6.792,0.3492,2.709,3.1289,21.5416,8.15,6.6,0.4775,0.4832,0.4803,0.4832,0.9075,51,0.9024356712900111,42,9.107
YOLO-FP32-P10,LANMSFF,9.257,1.224,0.4763,7.15,0.8609,12.4507,6.7,6.6,0.4208,0.4408,0.4306,0.4408,0.9242,31,0.9022749301320946,43,10.481
YOLO-FP32-P15,YOLO-INT8-P15,8.674,1.435,0.4731,6.7948,5.5654,34.3843,6.75,6.6,0.4234,0.4268,0.4251,0.4268,0.9236,34,0.8994282654222441,44,10.109
YOLO-FP32-P10,YOLO-FP16-P15,9.257,3.052,0.4763,7.15,5.1762,36.0341,6.7,6.6,0.4271,0.4348,0.4309,0.4348,0.9202,37,0.8980688733877815,45,12.309
YOLO-INT8-P15,YOLO-FP32-Base,2.17,6.792,0.3515,2.58,3.0769,21.4736,9.7,6.6,0.4653,0.4715,0.4684,0.4715,0.9064,54,0.8970391576416031,46,8.962
YOLO-FP32-P15,YOLO-FP16-P10,8.674,3.396,0.4731,6.7948,11.7789,76.7094,6.75,6.6,0.4221,0.4354,0.4286,0.4354,0.9199,39,0.8968788648663913,47,12.07
YOLO-FP32-P15,YOLO-FP16-P15,8.674,3.052,0.4731,6.7948,7.6058,56.0874,6.75,6.6,0.4217,0.4308,0.4262,0.4308,0.9202,37,0.8962868533712413,48,11.725999999999999
YOLO-FP32-P15,YOLO-INT8-P10,8.674,1.526,0.4731,6.7948,11.4235,59.9218,6.75,6.6,0.4066,0.4131,0.4098,0.4131,0.9204,36,0.8907095922888111,49,10.2
YOLO-FP32-P10,YOLO-INT8-P10,9.257,1.526,0.4763,7.15,7.5053,42.4353,6.7,6.6,0.4045,0.4154,0.4099,0.4154,0.9196,41,0.8899294094542163,50,10.783
YOLO-FP32-P15,LANMSFF,8.674,1.224,0.4731,6.7948,0.8568,12.0174,6.75,6.6,0.3897,0.4181,0.4034,0.4181,0.9199,39,0.8881127967274691,51,9.898
