detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-FP16-P15,POSTERv2,5,4,4,3
YOLO-FP16-P15,POSTERv2,6,4,4,1
YOLO-FP16-P15,POSTERv2,7,4,4,2
YOLO-FP16-P15,POSTERv2,8,16,14,4
YOLO-FP16-P15,POSTERv2,9,8,8,4
YOLO-FP16-P15,POSTERv2,10,4,4,2
YOLO-FP16-P15,POSTERv2,11,5,5,3
YOLO-FP16-P15,POSTERv2,12,5,4,2
YOLO-FP16-P15,POSTERv2,13,9,9,4
YOLO-FP16-P15,POSTERv2,14,5,3,2
YOLO-FP16-P15,POSTERv2,15,5,5,2
YOLO-FP16-P15,POSTERv2,16,5,5,3
YOLO-FP16-P15,POSTERv2,17,3,3,0
YOLO-FP16-P15,POSTERv2,18,6,6,2
YOLO-FP16-P15,POSTERv2,19,4,4,1
YOLO-INT8-P10,POSTERv2,0,12,12,10
YOLO-INT8-P10,POSTERv2,1,9,9,2
YOLO-INT8-P10,POSTERv2,2,11,11,9
YOLO-INT8-P10,POSTERv2,3,4,4,3
YOLO-INT8-P10,POSTERv2,4,9,7,2
YOLO-INT8-P10,POSTERv2,5,4,4,3
YOLO-INT8-P10,POSTERv2,6,4,4,1
YOLO-INT8-P10,POSTERv2,7,4,4,3
YOLO-INT8-P10,POSTERv2,8,16,13,3
YOLO-INT8-P10,POSTERv2,9,8,6,1
YOLO-INT8-P10,POSTERv2,10,4,4,2
YOLO-INT8-P10,POSTERv2,11,5,5,4
YOLO-INT8-P10,POSTERv2,12,5,5,2
YOLO-INT8-P10,POSTERv2,13,9,8,2
YOLO-INT8-P10,POSTERv2,14,5,4,2
YOLO-INT8-P10,POSTERv2,15,5,5,2
YOLO-INT8-P10,POSTERv2,16,5,5,3
YOLO-INT8-P10,POSTERv2,17,3,3,0
YOLO-INT8-P10,POSTERv2,18,6,6,2
YOLO-INT8-P10,POSTERv2,19,4,4,1
YOLO-INT8-P15,POSTERv2,0,12,12,8
YOLO-INT8-P15,POSTERv2,1,9,9,2
YOLO-INT8-P15,POSTERv2,2,11,11,10
YOLO-INT8-P15,POSTERv2,3,4,4,3
YOLO-INT8-P15,POSTERv2,4,9,8,2
YOLO-INT8-P15,POSTERv2,5,4,4,3
YOLO-INT8-P15,POSTERv2,6,4,4,0
YOLO-INT8-P15,POSTERv2,7,4,4,2
YOLO-INT8-P15,POSTERv2,8,16,13,2
