detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank,EDUS_cr,Rank_cr,Comb_Size,Desk_Rank_cr
YOLO-INT8-P15,YOLO-INT8-P10,2.17,1.526,0.398,24.3988,8.033,73.1876,10.3,6.6,0.3723,0.3784,0.3753,0.3784,0.898,58,0.8597502875894061,62,3.6959999999999997,60
YOLO-INT8-P10,YOLO-INT8-P10,2.315,1.526,0.4033,24.4833,7.6095,71.9156,7.9,6.6,0.3531,0.3608,0.3569,0.3608,0.8965,60,0.851492177803716,63,3.841,58
YOLO-FP16-P10,PCNN,4.629,103.524,0.4895,23.5483,28.4592,202.6051,6.8,6.6,0.3864,0.408,0.1287,0.1312,0.6611,64,0.6689144911653506,64,108.153,65
YOLO-FP16-P15,PCNN,4.334,103.524,0.4842,23.3133,28.5173,201.2266,6.7,6.6,0.3864,0.408,0.1164,0.1177,0.6571,65,0.667157034847845,65,107.858,64
YOLO-FP32-Base,PCNN,10.228,103.524,0.5038,49.7403,29.0722,237.0558,6.75,6.6,0.3939,0.4127,0.1568,0.1583,0.6429,66,0.6494323087625549,66,113.752,66
YOLO-FP32-P10,PCNN,9.257,103.524,0.4873,49.9524,28.4464,227.5884,6.7,6.6,0.3636,0.3871,0.1248,0.1281,0.6307,67,0.6274557935950982,67,112.781,68
YOLO-FP32-P15,PCNN,8.674,103.524,0.4791,49.9619,28.4329,227.424,6.75,6.6,0.3712,0.3889,0.1046,0.1059,0.624,68,0.6270945380088127,68,112.19800000000001,67
YOLO-INT8-P15,PCNN,2.17,103.524,0.398,24.3988,28.4111,200.3517,10.3,6.6,0.3712,0.4016,0.1184,0.1197,0.6233,70,0.6265926620208246,69,105.694,69
YOLO-INT8-P10,PCNN,2.315,103.524,0.4033,24.4833,28.4204,197.6982,7.9,6.6,0.3485,0.374,0.1091,0.1112,0.6235,69,0.6147033902633036,70,105.839,70
RT-DETR-FP32,YOLO-FP32-Base,253.4,6.792,0.5247,365.7923,29.1328,552.9884,7.7,6.6,0.5055,0.5143,0.5099,0.5143,0.5121,78,0.5430019299578193,71,260.192,71
RT-DETR-FP32,YOLO-FP32-P15,253.4,5.74,0.5247,365.7923,28.2941,546.5268,7.7,6.6,0.4856,0.4949,0.4902,0.4949,0.5108,79,0.5345743999323482,72,259.14,73
YOLO-FP16-P15,POSTERv2,4.334,180.56,0.4842,23.3133,30.3695,213.0918,6.7,6.6,0.4697,0.496,0.6156,0.6325,0.5771,72,0.534099987787861,73,184.894,72
YOLO-FP16-P10,POSTERv2,4.629,180.56,0.4895,23.5483,30.3884,215.0856,6.8,6.6,0.447,0.472,0.6426,0.6545,0.5838,71,0.5229466459833008,74,185.189,74
RT-DETR-FP32,YOLO-FP32-P10,253.4,6.104,0.5247,365.7923,28.3692,547.0042,7.7,6.6,0.4621,0.4707,0.4664,0.4707,0.5056,83,0.5205242986628452,75,259.504,75
RT-DETR-FP32,MobileNetV3,253.4,5.148,0.5247,365.7923,12.2823,503.9952,7.7,6.6,0.447,0.472,0.5967,0.6075,0.4949,86,0.5186710149710324,76,258.548,76
YOLO-FP32-P15,POSTERv2,8.674,180.56,0.4791,49.9619,30.429,239.805,6.75,6.6,0.4773,0.5,0.6291,0.6481,0.5486,75,0.5067432567938991,77,189.234,77
RT-DETR-FP32,LANMSFF,253.4,1.224,0.5247,365.7923,5.6561,401.9165,7.7,6.6,0.4132,0.4281,0.4205,0.4281,0.5081,80,0.5065107834507042,78,254.624,79
RT-DETR-FP32,YOLO-FP16-P10,253.4,3.396,0.5247,365.7923,7.2308,411.3403,7.7,6.6,0.4245,0.4326,0.4285,0.4326,0.5047,84,0.5059116216411568,79,256.796,80
RT-DETR-FP32,YOLO-INT8-P15,253.4,1.435,0.5247,365.7923,8.2039,417.3229,7.7,6.6,0.4171,0.4203,0.4187,0.4203,0.5073,81,0.505129743427162,80,254.835,78
RT-DETR-FP32,YOLO-INT8-P10,253.4,1.526,0.5247,365.7923,7.6492,415.6762,7.7,6.6,0.4076,0.4157,0.4116,0.4157,0.5057,82,0.5009311485675326,81,254.92600000000002,83
RT-DETR-FP32,YOLO-FP16-P15,253.4,3.052,0.5247,365.7923,7.2954,412.0266,7.7,6.6,0.4147,0.4181,0.4164,0.4181,0.5032,85,0.5000656316978951,82,256.452,81
YOLO-FP32-P10,POSTERv2,9.257,180.56,0.4873,49.9524,30.3646,239.866,6.7,6.6,0.4394,0.4677,0.6474,0.6612,0.555,74,0.4902709589764287,83,189.817,82
YOLO-INT8-P10,POSTERv2,2.315,180.56,0.4033,24.4833,30.3515,209.5242,7.9,6.6,0.4318,0.4634,0.592,0.6165,0.5405,77,0.48201092653665284,84,182.875,85
YOLO-FP32-Base,POSTERv2,10.228,180.56,0.5038,49.7403,30.4072,242.7098,6.75,6.6,0.4167,0.4365,0.6449,0.6534,0.5608,73,0.4819041642847305,85,190.788,84
YOLO-INT8-P15,POSTERv2,2.17,180.56,0.398,24.3988,30.3408,212.4133,10.3,6.6,0.4091,0.4426,0.6152,0.6346,0.5428,76,0.46797443538337574,86,182.73,86
RT-DETR-FP32,PCNN,253.4,103.524,0.5247,365.7923,28.4349,547.5884,7.7,6.6,0.3864,0.408,0.1227,0.126,0.2252,87,0.25382876067500754,87,356.924,87
RT-DETR-FP32,POSTERv2,253.4,180.56,0.5247,365.7923,30.3943,560.1283,7.7,6.6,0.4242,0.448,0.616,0.6269,0.144,88,0.09492077464788734,88,433.96000000000004,88
