detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank
YOLO-INT8-P10,YOLO-FP16-P15,2.315,3.052,0.4033,24.4833,7.2644,68.3489,7.9,6.6,0.4343,0.446,0.4401,0.446,0.9084,39
YOLO-INT8-P10,YOLO-INT8-P10,2.315,1.526,0.4033,24.4833,7.6095,71.9156,7.9,6.6,0.3531,0.3608,0.3569,0.3608,0.8965,60
YOLO-INT8-P10,YOLO-INT8-P15,2.315,1.435,0.4033,24.4833,7.3226,68.7463,7.9,6.6,0.3924,0.3972,0.3948,0.3972,0.9037,48
YOLO-INT8-P10,LANMSFF,2.315,1.224,0.4033,24.4833,5.6622,58.9618,7.9,6.6,0.3927,0.4219,0.4068,0.4219,0.9064,44
YOLO-INT8-P10,MobileNetV3,2.315,5.148,0.4033,24.4833,12.2834,130.0372,7.9,6.6,0.3488,0.3883,0.5679,0.5883,0.8905,62
YOLO-INT8-P10,POSTERv2,2.315,180.56,0.4033,24.4833,30.3515,209.5242,7.9,6.6,0.5694,0.6165,0.592,0.6165,0.5405,77
YOLO-INT8-P10,PCNN,2.315,103.524,0.4033,24.4833,28.4204,197.6982,7.9,6.6,0.1071,0.1112,0.1091,0.1112,0.6235,69
YOLO-INT8-P15,YOLO-FP32-Base,2.17,6.792,0.398,24.3988,28.8646,202.8848,10.3,6.6,0.4547,0.4597,0.4572,0.4597,0.9013,55
YOLO-INT8-P15,YOLO-FP32-P10,2.17,6.104,0.398,24.3988,28.3755,199.871,10.3,6.6,0.4662,0.4762,0.4711,0.4762,0.9054,45
YOLO-INT8-P15,YOLO-FP32-P15,2.17,5.74,0.398,24.3988,28.1917,198.7455,10.3,6.6,0.4389,0.4573,0.4479,0.4573,0.9019,52
YOLO-INT8-P15,YOLO-FP16-P10,2.17,3.396,0.398,24.3988,7.3482,69.1807,10.3,6.6,0.4084,0.4145,0.4114,0.4145,0.9004,56
YOLO-INT8-P15,YOLO-FP16-P15,2.17,3.052,0.398,24.3988,7.2686,68.9907,10.3,6.6,0.4281,0.4377,0.4328,0.4377,0.9051,46
YOLO-INT8-P15,YOLO-INT8-P10,2.17,1.526,0.398,24.3988,8.033,73.1876,10.3,6.6,0.3723,0.3784,0.3753,0.3784,0.898,58
YOLO-INT8-P15,YOLO-INT8-P15,2.17,1.435,0.398,24.3988,8.2481,75.0773,10.3,6.6,0.3876,0.3978,0.3926,0.3978,0.9014,54
YOLO-INT8-P15,LANMSFF,2.17,1.224,0.398,24.3988,5.667,59.502,10.3,6.6,0.4316,0.4574,0.4441,0.4574,0.9113,33
YOLO-INT8-P15,MobileNetV3,2.17,5.148,0.398,24.3988,12.2634,160.0964,10.3,6.6,0.2914,0.3163,0.5035,0.5163,0.8767,63
YOLO-INT8-P15,POSTERv2,2.17,180.56,0.398,24.3988,30.3408,212.4133,10.3,6.6,0.5969,0.6346,0.6152,0.6346,0.5428,76
YOLO-INT8-P15,PCNN,2.17,103.524,0.398,24.3988,28.4111,200.3517,10.3,6.6,0.1172,0.1197,0.1184,0.1197,0.6233,70
RT-DETR-FP32,YOLO-FP32-Base,253.4,6.792,0.5247,365.7923,29.1328,552.9884,7.7,6.6,0.5055,0.5143,0.5099,0.5143,0.5121,78
RT-DETR-FP32,YOLO-FP32-P10,253.4,6.104,0.5247,365.7923,28.3692,547.0042,7.7,6.6,0.4621,0.4707,0.4664,0.4707,0.5056,83
RT-DETR-FP32,YOLO-FP32-P15,253.4,5.74,0.5247,365.7923,28.2941,546.5268,7.7,6.6,0.4856,0.4949,0.4902,0.4949,0.5108,79
RT-DETR-FP32,YOLO-FP16-P10,253.4,3.396,0.5247,365.7923,7.2308,411.3403,7.7,6.6,0.4245,0.4326,0.4285,0.4326,0.5047,84
RT-DETR-FP32,YOLO-FP16-P15,253.4,3.052,0.5247,365.7923,7.2954,412.0266,7.7,6.6,0.4147,0.4181,0.4164,0.4181,0.5032,85
RT-DETR-FP32,YOLO-INT8-P10,253.4,1.526,0.5247,365.7923,7.6492,415.6762,7.7,6.6,0.4076,0.4157,0.4116,0.4157,0.5057,82
RT-DETR-FP32,YOLO-INT8-P15,253.4,1.435,0.5247,365.7923,8.2039,417.3229,7.7,6.6,0.4171,0.4203,0.4187,0.4203,0.5073,81
RT-DETR-FP32,LANMSFF,253.4,1.224,0.5247,365.7923,5.6561,401.9165,7.7,6.6,0.4132,0.4281,0.4205,0.4281,0.5081,80
RT-DETR-FP32,MobileNetV3,253.4,5.148,0.5247,365.7923,12.2823,503.9952,7.7,6.6,0.3863,0.4075,0.5967,0.6075,0.4949,86
RT-DETR-FP32,POSTERv2,253.4,180.56,0.5247,365.7923,30.3943,560.1283,7.7,6.6,0.6055,0.6269,0.616,0.6269,0.144,88
RT-DETR-FP32,PCNN,253.4,103.524,0.5247,365.7923,28.4349,547.5884,7.7,6.6,0.1196,0.126,0.1227,0.126,0.2252,87
