detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank
YOLO-INT8-P10,YOLO-FP32-P10,2.315,6.104,0.3492,2.709,3.1239,21.4843,8.15,6.6,0.4368,0.4468,0.4417,0.4468,0.9016,58
YOLO-INT8-P10,YOLO-FP16-P10,2.315,3.396,0.3492,2.709,5.7022,32.713,8.15,6.6,0.3822,0.3942,0.3881,0.3942,0.8973,59
YOLO-INT8-P15,YOLO-FP16-P10,2.17,3.396,0.3515,2.58,5.8877,39.9984,9.7,6.6,0.3682,0.3866,0.3772,0.3866,0.8965,60
YOLO-INT8-P10,YOLO-FP32-P15,2.315,5.74,0.3492,2.709,3.0741,21.2554,8.15,6.6,0.396,0.4003,0.3981,0.4003,0.894,61
YOLO-INT8-P10,MobileNetV3,2.315,5.148,0.3492,2.709,1.4328,21.3454,8.15,6.6,0.3666,0.409,0.387,0.409,0.8933,62
YOLO-INT8-P15,MobileNetV3,2.17,5.148,0.3515,2.58,1.4292,21.315,9.7,6.6,0.3338,0.3653,0.3491,0.3653,0.8872,63
YOLO-FP16-P10,PCNN,4.629,103.524,0.4786,2.6018,3.8458,26.8214,6.8,6.6,0.1294,0.1348,0.132,0.1348,0.6613,64
YOLO-FP16-P15,PCNN,4.334,103.524,0.4769,2.5029,3.9006,26.6372,6.7,6.6,0.1159,0.1198,0.1178,0.1198,0.6586,65
YOLO-FP32-Base,PCNN,10.228,103.524,0.4943,5.9321,3.9108,30.5104,6.75,6.6,0.1616,0.1663,0.1639,0.1663,0.655,66
YOLO-FP32-P10,PCNN,9.257,103.524,0.4763,7.15,3.9534,31.8023,6.7,6.6,0.1248,0.1316,0.1281,0.1316,0.638,67
YOLO-FP32-P15,PCNN,8.674,103.524,0.4731,6.7948,3.8978,30.9429,6.75,6.6,0.1096,0.113,0.1113,0.113,0.6356,68
YOLO-INT8-P15,PCNN,2.17,103.524,0.3515,2.58,3.8606,26.3975,9.7,6.6,0.1442,0.1456,0.1449,0.1456,0.6286,69
YOLO-INT8-P10,PCNN,2.315,103.524,0.3492,2.709,3.8828,26.3928,8.15,6.6,0.1471,0.1521,0.1496,0.1521,0.6282,70
YOLO-FP16-P10,POSTERv2,4.629,180.56,0.4786,2.6018,3.4204,24.1196,6.8,6.6,0.6155,0.6384,0.6267,0.6384,0.5844,71
YOLO-FP16-P15,POSTERv2,4.334,180.56,0.4769,2.5029,3.4246,23.6335,6.7,6.6,0.5871,0.6214,0.6038,0.6214,0.5801,72
YOLO-FP32-Base,POSTERv2,10.228,180.56,0.4943,5.9321,3.3474,27.0268,6.75,6.6,0.621,0.6426,0.6316,0.6426,0.5729,73
YOLO-FP32-P10,POSTERv2,9.257,180.56,0.4763,7.15,3.3616,28.0519,6.7,6.6,0.6155,0.6416,0.6283,0.6416,0.5622,74
YOLO-FP32-P15,POSTERv2,8.674,180.56,0.4731,6.7948,3.4052,27.8377,6.75,6.6,0.6017,0.6386,0.6196,0.6386,0.5614,75
YOLO-INT8-P15,POSTERv2,2.17,180.56,0.3515,2.58,3.3338,23.1848,9.7,6.6,0.6085,0.6439,0.6257,0.6439,0.5491,76
YOLO-INT8-P10,POSTERv2,2.315,180.56,0.3492,2.709,3.4538,23.6893,8.15,6.6,0.5733,0.6185,0.595,0.6185,0.542,77
RT-DETR-FP32,YOLO-FP32-Base,253.4,6.792,0.5247,81.9362,3.0689,101.4211,7.7,6.6,0.5055,0.5143,0.5099,0.5143,0.5141,78
RT-DETR-FP32,YOLO-FP32-P15,253.4,5.74,0.5247,81.9362,3.0992,101.5667,7.7,6.6,0.4856,0.4949,0.4902,0.4949,0.5127,79
RT-DETR-FP32,LANMSFF,253.4,1.224,0.5247,81.9362,0.8685,87.4074,7.7,6.6,0.4132,0.4281,0.4205,0.4281,0.5094,80
RT-DETR-FP32,YOLO-INT8-P15,253.4,1.435,0.5247,81.9362,5.6853,127.8334,7.7,6.6,0.4202,0.4233,0.4217,0.4233,0.5091,81
RT-DETR-FP32,YOLO-FP32-P10,253.4,6.104,0.5247,81.9362,3.1618,101.8964,7.7,6.6,0.4621,0.4707,0.4664,0.4707,0.5073,82
RT-DETR-FP32,YOLO-FP16-P15,253.4,3.052,0.5247,81.9362,5.7947,110.0195,7.7,6.6,0.4247,0.4281,0.4264,0.4281,0.5064,83
RT-DETR-FP32,YOLO-FP16-P10,253.4,3.396,0.5247,81.9362,7.7034,128.8618,7.7,6.6,0.4245,0.4326,0.4285,0.4326,0.506,84
RT-DETR-FP32,YOLO-INT8-P10,253.4,1.526,0.5247,81.9362,11.2244,151.8372,7.7,6.6,0.3995,0.4076,0.4035,0.4076,0.5054,85
RT-DETR-FP32,MobileNetV3,253.4,5.148,0.5247,81.9362,1.4428,101.0384,7.7,6.6,0.3863,0.4075,0.3967,0.4075,0.496,86
RT-DETR-FP32,PCNN,253.4,103.524,0.5247,81.9362,3.9204,106.915,7.7,6.6,0.1196,0.126,0.1227,0.126,0.224,87
RT-DETR-FP32,POSTERv2,253.4,180.56,0.5247,81.9362,3.3395,103.2548,7.7,6.6,0.6055,0.6269,0.616,0.6269,0.1469,88
